barcode,product_name,brand,category,net_quantity,packaging,labels_certifications,manufacturing_place,ingredients,nutriscore,nova_group,image_front_url,image_nutrition_url,image_ingredients_url,has_image,data_quality
8901719135248,Krackjack,Parle,Biscuits,56.7g,,Green Dot India,,"REFINED WHEAT FLOUR (MAIDA), REFINED OILS (PALMOLEIN AND PALM), SUGAR (19.1%), RAISING AGENTS [ 503 (ii), 10 (ii), 341 (i) ], INVERT SUGAR SYRUP, IODISED SALT(0.9%) YEAST, ACIDITY REGULATORS [270,296], FLOUR TREATMENT AGENTS [223,1101 (ii),1100(i)], EMULSIFIER OF VEGETABLE ORIGIN [472e] CONTAINS ADDED FLAVOURS (ARTIFICIAL FLAVOURING SUBSTANCE-VANILLA, BUT ER)",e,4,https://images.openfoodfacts.org/images/products/890/171/913/5248/front_en.25.400.jpg,,,yes,6/8
8906010501570,Balaji Wafers Crunchex,Balaji,"Crisps, Salty snacks made from potato, Kurkure",32g,,Green Dot India,,"POTATO (84%), EDIBLE VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWINGS: PALMOLEIN, GROUNDNUT), **SEASONING [SUGAR, MALTODEXTRIN, SALT, SPICES & CONDIMENTS (CHILLI (0.5%), PEPPER), DEHYDRATED VEGETABLE POWDER (ONION, GARLIC, TOMATO), BLACK SALT, ACIDITY REGULATOR (INS 330, INS 296, INS 334), MILK SOLIDS (0.1%), HYDROLYZED VEGETABLE PROTEIN SOYA), ANTICAKING AGENT (INS 551), FLAVOUR ENHANCER (INS 627, INS 631) FLAVOUR (NATURAL & NATURE IDENTICAL FLAVOURING SUBSTANCES), PAPRIKA EXTRACT (INS 160C), STABILIZER (INS 340), EMULSIFIER (INS 470)]",d,4,https://images.openfoodfacts.org/images/products/890/601/050/1570/front_en.13.400.jpg,,,yes,6/8
8996001312506,Malkist Cheese Flavoured Crunchy Layered Cracker Biscuits,Mayora,"Biscuits, Crackers (Appetizers), cream-biscuit",144g,,"Green Dot, Green Dot India",,"Refined Wheat Flour Edible Vegetable Oil (Palmolein) Sugar (15.8%), Whey Powder, Glucose Syrup, Milk Solids (1.67%)(SMP), Cheese Powder (Cheese, Maltodextrin)(1.62%), Tapioca Starch, Leavening Agent (E503(ii), E500(ii)), Edible Common Salt, Baker's Yeast, Malt Extract (0.42%), Butter, Artificial Flavouring Substance (Cheese), Emulsifier (Soy Lecithin E322(i)), Vitamin Premix (Thiamine Mononitrate, Riboflavin, Pyridoxine Hydrochloride, Cyanocobalamin), Permitted Synthetic Food Colour (E102, E110).",e,4,https://images.openfoodfacts.org/images/products/899/600/131/2506/front_en.3.400.jpg,,,yes,6/8
8901058005233,Kitkat mini chocolate coated wafer,"KitKat, Nestle nutrition","Chocolate candies, Bars, Chocolate biscuits, Dark chocolate bar",11.9g,,,,"Sugar, Milk Solids. Fractionated vegetable Fat, Hydrogenated Vegetable fats, Refined Wheat flour (Maida), Cocoa solids (4.5%), Emulsifier (Soya lecithin), Yeast, Raising agent, Artificial flavouring substance (vanilla), Iodised salt, Flour treatment agent (516) and Nature Identical flavoring substance",e,4,https://images.openfoodfacts.org/images/products/890/105/800/5233/front_en.26.400.jpg,,,yes,5/8
8902080104581,Pepsi,Pepsi Cola,"Carbonated waters, Carbonated soft drinks without fruit juice, Cola with sugar, Diet cola soft drink, Sweetened beverages",400ml,,Green Dot India,,"CARBONATED WATER, SUGAR, COLOUR (150d), ACIDITY REGULATOR (338), CAFFEINE (10 mg/100g), FLAVOUR (NATURAL FLAVOURING SUBSTANCES), STABILIZER (436). CONTAINS CAFFEINE",e,4,https://images.openfoodfacts.org/images/products/890/208/010/4581/front_en.3.400.jpg,,,yes,6/8
8901063023901,Marie Gold,Britannia,"Biscuits, Snack biscuit with fruits filling",250,Plastic,,,"REFINED WHEAT FLOUR (MAIDA)(73%), SUGAR, REFINED PALM OIL, INVERT SUGAR SYRUP, MILK SOLIDS, RAISING AGENTS [503(ii) & 500 (ii)], IODIZED SALT, EMULSIFIER(472e), CALCIUM SALT, DOUGH CONDITIONER(223), VITAMINS*, FERROUS SALT AND POTASSIUM IODATE. CONTAINS PERMITTED NATURAL COLOUR (150d) AND ADDED FLAVOURS NATURE IDENTICAL & ARTIFICIAL (MILK & VANILLA) FLAVOURING SUBSTANCES] (Numbers in brackets as per International Numbering System) CONTAINS WHEAT, MILK AND SULPHITE.",e,4,https://images.openfoodfacts.org/images/products/890/106/302/3901/front_en.6.400.jpg,,,yes,6/8
8901030921797,kissan fresh tomato,"Kissan, Unilever",Tomato Ketchup,,,Green Dot India,,"water, tomato paste (28%), sugar, iodised salt, acidity regulator - E260, stabilizers - E1422, E415, preservative - E211, onion powder, garlic powder, spices, condiments",e,4,https://images.openfoodfacts.org/images/products/890/103/092/1797/front_en.14.400.jpg,,,yes,5/8
8901719135118,MONACO,Parle,"Appetizers, Biscuits, Monaco-biscuit",,,,,Biscuit,d,3,https://images.openfoodfacts.org/images/products/890/171/913/5118/front_en.24.400.jpg,,,yes,4/8
8901063162532,Marie gold,Britannia,Biscuits,33g,,,,,d,,https://images.openfoodfacts.org/images/products/890/106/316/2532/front_en.5.400.jpg,,,yes,4/8
3948764061257,Diet coke,Coca-Cola,Diet cola soft drink,300 ml,,,,"carbonated water, caramel color, aspartame, phosphoric acid, potassium benzoate, natural flavors, citric acid, and caffeine",c,4,https://images.openfoodfacts.org/images/products/394/876/406/1257/front_en.4.400.jpg,,,yes,5/8
89080153,Maggi masala magic,"Maggi, Maggie",Spices,6g,,Green Dot India,,"Mixed spices (38.7%) (Red chilli powder (7%), Onion powder Cumin powder (5.2%), Garlic powder Coriander powder, Capsicum extract, Turmeric powder (3.5%), Aniseed (1.4%), Black pepper powder (0.9%), Fenugreek powder (0.7%), Ginger powder, Clove powder (0.3%), Green cardamom powder (0.3%), Nutmeg powder (0.3%). Coriander extract & Cumin extract) Salt Sugar Flavour enhancer (635), Palm oil, Edible starch, Balm Acidity regulator (330), Minerals&quot;, Caramel salt mix (Salt, Colour (150d) & Palm oil) and Vitamin A.",not-applicable,4,https://images.openfoodfacts.org/images/products/000/008/908/0153/front_en.8.400.jpg,,,yes,6/8
8901764032905,Sprite,"Coca cola, Sprite","Artificially sweetened beverages, Sodas",2.25l,,,,"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330, 331(iii)), PRESERVATIVE (211), SWEETENER (960), FLAVOURS (NATURAL FLAVOURING SUBSTANCES).",e,4,https://images.openfoodfacts.org/images/products/890/176/403/2905/front_en.28.400.jpg,,,yes,5/8
