barcode,product_name,brand,category,net_quantity,packaging,labels_certifications,manufacturing_place,ingredients,nutriscore,nova_group,image_front_url,image_nutrition_url,image_ingredients_url,has_image,data_quality
8904335604150,Yoga Bar Millet Muesli,Yoga Bar,Mueslis,500g,,"Vegan, Green Dot India",,"Whole Grains 58.0% (Millets 26.0% (Ragi 16%, Jowar 10%), Rolled Oats 22%, Brown Rice Flakes), Corn Flakes (Corn Grits, Unrefined Sugar, Iodized Salt, Malt Extract, Soy Lecithin), Nuts & Seeds 9.5% (Flax, Pumpkin, Almond), Rice Crispy, Dehydrated Fruits 4.8% (Raisins, Cranberry), Jaggery Syrup, Honey, Rice Bran Oil, Natural Flavors (Almond, Rosemary Extract), Himalayan Pink Salt.",b,4,https://images.openfoodfacts.org/images/products/890/433/560/4150/front_en.17.400.jpg,,,yes,6/8
8904004400687,Haldiram's Aloo Bhujia Sev,Haldiram's,Salty snacks,20g,,,,"Potato, Edible Vegetable Oil (Palmolein, Cotton Seed, Corn, Sunflower), Bengal Gram Flour (Besan), Potato Flakes, Potato Starch, Tapioca Starch, Tepary Beans (Moth Dal) Flour, Iodised Salt, Red Chilli Powder, Black Salt, Acidity Regulator (INS 330), Black Pepper, Clove, Dried Ginger Powder, Dried Garlic Powder, Cumin Powder, Bay Leaf, Nutmeg, Cinnamon, Turmeric, Mint Leaves, Natural Flavours & Natural Flavouring Substances & Nature Identical Flavouring Substances.",unknown,4,https://images.openfoodfacts.org/images/products/890/400/440/0687/front_en.5.400.jpg,,,yes,5/8
8906009501031,Pasteurised Cow Milk,Chitale,Whole milks,500 ml,,,,PASTEURISED COW MILK,c,1,https://images.openfoodfacts.org/images/products/890/600/950/1031/front_en.5.400.jpg,,,yes,5/8
54491496,Diet Coke,Coke,"Unsweetened beverages, Diet cola soft drink, Sweetened beverages",500 ml,"Plastic, Bottle, Pet-bottle, en:pet-cap","Green Dot, natural flavors",Royaume-Uni,"csd water, caramel color, aspartame, phosphoric acid, potassium benzoate (to protect taste), natural flavors, citric acid, caffeine, contains phenylalaline  water gazeifiée, caramel colour e150d, sweeteners : aspartame, acesulfame k, flavourings, natural caffeine, phosphoric acid, citric acid",c,4,https://images.openfoodfacts.org/images/products/000/005/449/1496/front_en.73.400.jpg,,,yes,8/8
8901262020039,Amul cheese,Amul,Cheeses,200 g,Cuboid Cardboard,,Kheda India,"Cheese, emulsifying salts (452, 339, 331), iodized sait, class II preservatives (200, 234)",e,4,https://images.openfoodfacts.org/images/products/890/126/202/0039/front_en.40.400.jpg,,,yes,7/8
8901262200189,Amul Lassi 200ml,Amul,"Yogurt drinks, Lassi",200mL,,,,"Milk solids, water, sugar, stabilizer (440), nature identical and artificial flavouring substances (rose), active culture. Allergen Information: Contains milk.",e,4,https://images.openfoodfacts.org/images/products/890/126/220/0189/front_en.26.400.jpg,,,yes,5/8
8904004409253,Potato Lite,Haldiram Snacks Pvt. Ltd.,Potato crisps,15g,plastic,,,"Potato Starch, Potato Flakes, Refined Palmolein Oil, lodised Salt, Maltodextrin, Black Pepper & Black Salt &quot;I",unknown,4,https://images.openfoodfacts.org/images/products/890/400/440/9253/front_en.4.400.jpg,,,yes,6/8
8901764362309,Pulpy orange,Minute Maid,Orange juices from concentrate,1L,,Green Dot India,,"WATER, SUGAR, ORANGE JUICE (10.5%) (RECONSTITUTED FROM ORANGE JUICE CONCENTRATE & ORANGE PULP CELLS), ACIDITY REGULATORS (330, 331(iii)), ANTIOXIDANT (300), COLOURS ENERGY (110, 102), ORANGE FLAVOURS (NATURAL, NATURE-IDENTICAL AND ARTIFICIAL FLAVOURING SUBSTANCES).",e,4,https://images.openfoodfacts.org/images/products/890/176/436/2309/front_en.3.400.jpg,,,yes,6/8
8901058000269,Maggi,Maggi,Noodles,280g,,,,"Noodles: Refined wheat flour (Maida), Paim oil, lodized salt, Wheat gluten, Thickeners (508&412), Acidity regulators (501 (i) & 500 (i) and Humectant (451 (i)). Masala *TASTEMAKER®: Mixed spices (25.6%) (Onion powder Coriander powder, Turmerie newder, Red chilli powder, Garlic powder Cumin powder, Aniseed powder, powder, Fenugreek powder, Black pepper powder, Clove powder, Green cardamom powder & Nutmeg powder), Refined wheat flour (Maida), Hydrolysed groundnut protein, Sugar, Palm oil, Starch, lodized salt, Thickener (508), Flavour enhancer (635), Toasted onion flakes, Acidity regulator (330), Colour (150d), Mineral and Wheat gluten. Contains Wheat & Nut. May Contains Milk, Mustard, Oats And Soy. #Lets toMAGGI",unknown,4,https://images.openfoodfacts.org/images/products/890/105/800/0269/front_en.39.400.jpg,,,yes,5/8
8901088050586,Parachute Coconut Oil,Parachute,Coconut oils,,,Green Dot India,,,unknown,2,https://images.openfoodfacts.org/images/products/890/108/805/0586/front_en.7.400.jpg,,,yes,4/8
8909081005046,Dark Fantasy Choco Fills,Sunfeast,Chocolate biscuits,,,,,,e,,https://images.openfoodfacts.org/images/products/890/908/100/5046/front_en.14.400.jpg,,,yes,3/8
8906010500429,Unknown Product,,Balaji,,,,,,d,,https://images.openfoodfacts.org/images/products/890/601/050/0429/front_en.11.400.jpg,,,yes,2/8
8901088047142,parachute oil,parachute,en:Coconut oils,250ml,,,,,unknown,2,https://images.openfoodfacts.org/images/products/890/108/804/7142/front_en.9.400.jpg,,,yes,4/8
8901207005527,Honey Squeezy,Dabur,"Honeys, Food",400g,Squeezy,"Green Dot, Green Dot India, Dabur",,Honey (100%),d,2,https://images.openfoodfacts.org/images/products/890/120/700/5527/front_en.12.400.jpg,,,yes,7/8
0856069005209,"Fine ground sea salt almond flour crackers, sea salt",,Crackers (Appetizers),,,"No gluten, Non GMO project, Verified",,"nut and seed flour blend (almonds, sunflower seeds, flax seeds), tapioca starch, cassava, organic sunflower oil, sea salt, organic onion, organic garlic, rosemary extract (for freshness)",c,3,https://images.openfoodfacts.org/images/products/085/606/900/5209/front_en.9.400.jpg,,,yes,4/8
8901088000345,Coconut oil,Parachute,Coconut oils,200ml(182g),,Green Dot India,,Coconut Oil,e,2,https://images.openfoodfacts.org/images/products/890/108/800/0345/front_en.15.400.jpg,,,yes,6/8
8904004403800,Moong dal,"Haldiram, Haldiram's","Snacks, Pulses",400 g,Plastic,Vegetarian,India,"Split Pulse Moong (Moong Dal) (77%), Refined Cotton Seed Oil & lodised Salt.",a,3,https://images.openfoodfacts.org/images/products/890/400/440/3800/front_en.17.400.jpg,,,yes,8/8
8902080364022,Mountain Dew,PepsiCo,"Sodas, Carbonated waters, Energy drinks, Sweetened beverages",250 ml,1  RECYCLABLE Plastic bottle,Green Dot India,,"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330 ,331), FLAVOUR (NATURAL FLAVOURING SUBSTANCES), PRESERVATIVE (211), CAFFEINE (13 mg/100 g), STABILIZER (445), COLOUR (102).",e,4,https://images.openfoodfacts.org/images/products/890/208/036/4022/front_en.6.400.jpg,,,yes,7/8
8901595863013,Schezwan Chutney,ching's,"Salted spreads, Dips, Onion chutneys, Schezwan Chutney",30 g,,Green Dot India,,"Water, Sunflower Oil, Sugar, lodised Salt, Chilli, Corn Starch, Garlic, Onion, Ginger, Thickener (INS 1422), Flavou Enhancer (INS 635), Acidity Regulator (INS 260), Spices (White Pepper, Schezwan Pepper), Preservatives (INS 202, INS 211), Celery, Soy Sauce Powder (Soybean, Wheat, Salt), Natural Flavouring Substances. ALLERGEN ADVICE: CONTAINS WHEAT, SOY AND CELERY. May contain Peanuts, Tree Nuts, Sesame Seed, Mustard and Milk (dairy products)",e,4,https://images.openfoodfacts.org/images/products/890/159/586/3013/front_en.3.400.jpg,,,yes,6/8
8906010503529,CHRUNCHEM Masala Masti,Balaji,Potato crisps,150,,,,"POTATO (87%), EDIBLE VEGETABLE OIL (PALMOLEIN), SUGAR, SPICES & CONDIMENTS 1% (CHILLI, DRY MANGO, CORIANDER, CUMIN, BLACK PEPPER, GINGER, CLOVE), EDIBLE COMMON SALT, BLACK SALT.",e,3,https://images.openfoodfacts.org/images/products/890/601/050/3529/front_en.6.400.jpg,,,yes,5/8
